gen	nevals	avg     	std    	min    	max
0  	200   	-651.245	480.556	-1000  	50 
1  	200   	-357.616	487.073	-1000  	78 
2  	200   	-179.066	397.765	-1000  	107
3  	200   	-82.46  	297.526	-1000  	107
4  	200   	-35.3376	221.725	-1000  	107
5  	200   	-8.88794	159.326	-1000  	107
6  	200   	3.95948 	124.91 	-1000  	107
7  	200   	11.9538 	103.307	-1000  	107
8  	200   	25.4465 	20.5319	9.4    	107
9  	200   	29.1562 	23.3355	9.4    	107
10 	200   	33.4996 	24.9968	9.4    	107
11 	200   	36.5144 	24.8962	9.4    	107
12 	200   	40.6351 	25.8787	9.4    	107
13 	200   	45.2357 	26.3387	9.4    	107
14 	200   	50.4952 	26.9735	9.6    	107
15 	200   	55.4645 	27.7087	9.6    	107
16 	200   	58.5345 	27.8972	9.6    	107
17 	200   	62.3595 	28.0171	9.6    	116
18 	200   	64.9854 	28.0595	9.6    	116
19 	200   	69.3984 	27.7746	9.6    	116
20 	200   	71.8361 	27.2047	9.6    	116
21 	200   	74.5953 	27.5591	9.6    	116
22 	200   	77.4514 	26.545 	9.6    	116
23 	200   	79.6489 	26.761 	9.6    	116
24 	200   	83.0677 	26.5452	9.6    	116
25 	200   	86.0362 	25.1449	9.6    	116
26 	200   	90.3967 	22.7249	9.6    	116
27 	200   	92.2192 	22.1392	9.6    	116
28 	200   	95.5167 	20.4045	9.6    	116
29 	200   	98.5167 	19.0703	9.6    	116
30 	200   	100.463 	17.7761	9.6    	116
31 	200   	101.935 	17.7322	9.6    	116
32 	200   	103.928 	17.0012	9.6    	116
33 	200   	105.493 	15.7853	9.6    	116
34 	200   	107.308 	15.3498	9.6    	116
35 	200   	108.853 	14.6076	9.6    	116
36 	200   	110.28  	12.4653	9.6    	116
37 	200   	110.84  	12.0422	9.6    	117
38 	200   	111.68  	11.5831	9.6    	117
39 	200   	112.1   	11.3389	9.6    	117
40 	200   	112.684 	10.9414	14.2857	117
41 	200   	113.164 	10.8378	14.2857	117
42 	200   	113.446 	10.6295	14.2857	117
43 	200   	113.949 	9.67721	14.2857	117
44 	200   	114.064 	9.63649	14.2857	117
45 	200   	114.676 	7.92541	14.2857	117
46 	200   	114.756 	7.87702	14.2857	117
47 	200   	115.076 	7.55718	14.2857	117
48 	200   	115.281 	7.46074	14.2857	117
49 	200   	115.326 	7.46795	14.2857	117
50 	200   	115.501 	7.37159	14.2857	117
