gen	nevals	avg     	std    	min  	max    
0  	200   	-696.888	463.013	-1000	20.3333
1  	200   	-444.133	502.804	-1000	20.3333
2  	200   	-181.222	396.56 	-1000	20.3333
3  	200   	-54.22  	249.384	-1000	20.3333
4  	200   	-12.9108	158.093	-1000	22.5   
5  	200   	3.6244  	100.923	-1000	22.5   
6  	200   	15.4224 	3.097  	9    	25.6   
7  	200   	16.2655 	2.8323 	9    	25.6   
8  	200   	16.6916 	2.68215	9    	25.6   
9  	200   	17.1414 	2.59587	9    	25.6   
10 	200   	17.5033 	2.52206	9    	25.6   
11 	200   	18.0302 	2.22761	9    	25.6   
12 	200   	18.2998 	2.29113	9    	25.6   
13 	200   	18.5308 	2.41602	9    	30.25  
14 	200   	18.8355 	2.39263	9    	30.25  
15 	200   	18.9687 	2.37988	9    	30.25  
16 	200   	19.2013 	2.30139	9    	30.25  
17 	200   	19.4151 	2.44632	9    	30.25  
18 	200   	19.5671 	2.40571	9    	30.25  
19 	200   	19.6959 	2.3838 	9    	30.25  
20 	200   	19.946  	2.39304	9    	30.25  
21 	200   	20.1395 	2.45222	9    	30.25  
22 	200   	20.2536 	2.44948	9    	30.25  
23 	200   	20.376  	2.46005	9    	30.25  
24 	200   	20.477  	2.47409	9    	30.25  
25 	200   	20.5286 	2.43364	9    	30.25  
26 	200   	20.6588 	2.42455	9    	30.25  
27 	200   	20.838  	2.48543	9    	30.25  
28 	200   	20.8794 	2.48132	9    	30.25  
29 	200   	20.9627 	2.42958	9    	30.25  
30 	200   	21.1255 	2.58572	9    	30.25  
31 	200   	21.2579 	2.55795	9    	30.25  
32 	200   	21.3602 	2.55819	9    	30.25  
33 	200   	21.3609 	2.55791	9    	30.25  
34 	200   	21.4025 	2.54707	9    	30.25  
35 	200   	21.4993 	2.54068	9    	30.25  
36 	200   	21.6556 	2.56955	9    	30.25  
37 	200   	21.7691 	2.62409	9    	30.25  
38 	200   	21.7779 	2.61327	9    	30.25  
39 	200   	21.944  	2.82578	9    	35     
40 	200   	22.036  	2.93957	9    	35     
41 	200   	22.1335 	2.97197	9    	35     
42 	200   	22.255  	3.04   	9    	35     
43 	200   	22.3601 	3.06345	9    	35     
44 	200   	22.4985 	3.10261	9    	35     
45 	200   	22.7896 	3.14781	9    	35     
46 	200   	23.0671 	3.19989	14   	35     
47 	200   	23.2556 	3.21643	14   	35     
48 	200   	23.3737 	3.20055	14   	35     
49 	200   	23.5753 	3.25175	14   	35     
50 	200   	23.9015 	3.29088	14   	35     
