gen	nevals	avg     	std     	min  	max  
0  	200   	-777.92 	418.163 	-1000	10   
1  	200   	-606.28 	492.402 	-1000	10   
2  	200   	-475.05 	504.356 	-1000	11   
3  	200   	-343.78 	481.534 	-1000	11   
4  	200   	-217.505	421.621 	-1000	12   
5  	200   	-131.61 	350.372 	-1000	12   
6  	200   	-76.04  	281.613 	-1000	12   
7  	200   	-50.78  	239.817 	-1000	12   
8  	200   	-35.61  	209.343 	-1000	12   
9  	200   	-30.505 	197.898 	-1000	12   
10 	200   	-15.29  	157.68  	-1000	12   
11 	200   	-15.248 	157.687 	-1000	12.4 
12 	200   	-10.168 	141.405 	-1000	12.4 
13 	200   	5.012   	71.2454 	-1000	12.4 
14 	200   	5.057   	71.2489 	-1000	12.4 
15 	200   	5.082   	71.2508 	-1000	12.4 
16 	200   	5.141   	71.2555 	-1000	12.4 
17 	200   	10.263  	0.707835	9    	12.4 
18 	200   	10.323  	0.758862	9    	12.4 
19 	200   	10.408  	0.792929	9    	12.4 
20 	200   	10.537  	0.848193	9    	12.4 
21 	200   	10.638  	0.901197	9    	12.4 
22 	200   	10.779  	0.934751	9    	12.4 
23 	200   	10.9017 	0.96714 	9    	13.75
24 	200   	11.0008 	0.969336	10   	13.75
25 	200   	11.0597 	0.975009	10   	13.75
26 	200   	11.1258 	0.981223	10   	13.75
27 	200   	11.2118 	0.978864	10   	13.75
28 	200   	11.3018 	0.96745 	10   	13.75
29 	200   	11.3918 	0.963091	10   	13.75
30 	200   	11.5038 	0.935975	10   	13.75
31 	200   	11.5628 	0.922889	10   	13.75
32 	200   	11.6017 	0.924613	10   	13.75
33 	200   	11.6848 	0.897959	10   	13.75
34 	200   	11.7418 	0.876823	10   	13.75
35 	200   	11.8168 	0.831223	10   	13.75
36 	200   	11.8808 	0.803674	10   	13.75
37 	200   	11.9698 	0.741483	10   	13.75
38 	200   	12.0347 	0.67713 	10   	13.75
39 	200   	12.0838 	0.668804	10   	13.75
40 	200   	12.1558 	0.599045	10   	13.75
41 	200   	12.1708 	0.603786	10   	13.75
42 	200   	12.2037 	0.583437	10   	13.75
43 	200   	12.2428 	0.559987	10   	13.75
44 	200   	12.2688 	0.533185	10   	13.75
45 	200   	12.2978 	0.514254	10   	13.75
46 	200   	12.3148 	0.515602	10   	13.75
47 	200   	12.3358 	0.511062	10   	13.75
48 	200   	12.3588 	0.509324	10   	13.75
49 	200   	12.3868 	0.503326	10   	13.75
50 	200   	12.4198 	0.480544	10   	13.75
