gen	nevals	avg     	std    	min  	max  
0  	200   	-317.626	473.516	-1000	53.6 
1  	200   	-27.262 	198.845	-1000	76.3 
2  	200   	18.72   	18.8787	9.4  	154.8
3  	200   	24.2005 	23.4148	9.4  	154.8
4  	200   	31.501  	25.9245	9.4  	154.8
5  	200   	42.252  	45.2642	9.4  	444.1
6  	200   	55.4775 	60.9424	9.9  	488.6
7  	200   	75.97   	85.0243	9.9  	488.6
8  	200   	89.3345 	88.9027	9.9  	488.6
9  	200   	114.681 	109.289	9.9  	500  
10 	200   	130.405 	123.773	9.9  	500  
11 	200   	153.135 	135.278	9.9  	500  
12 	200   	181.954 	148.203	9.9  	500  
13 	200   	206.613 	155.782	20.8 	500  
14 	200   	234.857 	164.338	22.2 	500  
15 	200   	267.685 	166.21 	22.2 	500  
16 	200   	302.244 	166.527	22.3 	500  
17 	200   	337.228 	160.463	35.6 	500  
18 	200   	363.721 	154.196	35.6 	500  
19 	200   	387.491 	143.307	35.6 	500  
20 	200   	407.926 	134.794	35.6 	500  
21 	200   	434.169 	118.26 	35.6 	500  
22 	200   	451.689 	100.726	56.8 	500  
23 	200   	463.081 	89.9574	68.3 	500  
24 	200   	467.1   	83.6277	105.8	500  
25 	200   	476.484 	69.1118	105.8	500  
26 	200   	483.13  	56.6263	105.8	500  
27 	200   	486.407 	51.1483	105.8	500  
28 	200   	492.586 	28.7731	211.8	500  
29 	200   	493.481 	27.2834	211.8	500  
30 	200   	494.189 	26.7765	211.8	500  
31 	200   	495.084 	24.7188	211.8	500  
32 	200   	495.715 	24.0313	211.8	500  
33 	200   	496.683 	21.3269	211.8	500  
34 	200   	496.964 	21.2947	211.8	500  
35 	200   	497.026 	21.2934	211.8	500  
36 	200   	498.799 	5.41585	434.6	500  
37 	200   	498.799 	5.41585	434.6	500  
38 	200   	498.973 	5.26508	434.6	500  
39 	200   	499.034 	5.20562	434.6	500  
40 	200   	499.166 	5.10175	434.6	500  
41 	200   	499.354 	4.92913	434.6	500  
42 	200   	499.354 	4.92913	434.6	500  
43 	200   	499.354 	4.92913	434.6	500  
44 	200   	499.354 	4.92913	434.6	500  
45 	200   	499.354 	4.92913	434.6	500  
46 	200   	499.385 	4.91357	434.6	500  
47 	200   	499.385 	4.91357	434.6	500  
48 	200   	499.495 	4.80154	434.6	500  
49 	200   	499.495 	4.80154	434.6	500  
50 	200   	499.495 	4.80154	434.6	500  
