gen	nevals	avg     	std     	min  	max  
0  	200   	-343.106	487.86  	-1000	219.9
1  	200   	-60.5525	278.794 	-1000	219.9
2  	200   	22.645  	82.9302 	-1000	246.5
3  	200   	35.8835 	53.1928 	9.2  	411.7
4  	200   	46.017  	59.3675 	9.2  	411.7
5  	200   	59.9635 	66.4344 	9.6  	411.7
6  	200   	79.2215 	79.5369 	9.6  	411.7
7  	200   	93.834  	87.0212 	9.6  	411.7
8  	200   	114.662 	94.9489 	10.3 	500  
9  	200   	135.118 	99.0359 	10.6 	500  
10 	200   	152.6   	100.573 	11.9 	500  
11 	200   	170.299 	104.73  	12.7 	500  
12 	200   	196.98  	113.677 	16.5 	500  
13 	200   	214.57  	112.341 	16.5 	500  
14 	200   	235.766 	115.247 	16.5 	500  
15 	200   	257.361 	116.659 	16.5 	500  
16 	200   	283.026 	125.106 	16.5 	500  
17 	200   	300.511 	127.364 	16.5 	500  
18 	200   	324.217 	129.264 	20.6 	500  
19 	200   	344.047 	131.463 	20.6 	500  
20 	200   	363.13  	127.069 	22.1 	500  
21 	200   	382.545 	123.757 	26.5 	500  
22 	200   	412.197 	114.656 	26.5 	500  
23 	200   	420.953 	110.01  	26.5 	500  
24 	200   	438.156 	98.8877 	26.5 	500  
25 	200   	443.839 	96.8718 	26.5 	500  
26 	200   	451.882 	91.9209 	26.5 	500  
27 	200   	460.132 	87.1054 	26.5 	500  
28 	200   	467.073 	78.6686 	26.5 	500  
29 	200   	474.823 	67.7152 	83.7 	500  
30 	200   	478.979 	62.2842 	99.1 	500  
31 	200   	483.338 	56.4252 	99.1 	500  
32 	200   	484.592 	55.9181 	99.1 	500  
33 	200   	488.204 	49.8699 	99.1 	500  
34 	200   	492.387 	39.8716 	99.1 	500  
35 	200   	493.923 	38.8449 	99.1 	500  
36 	200   	496.353 	33.4952 	99.1 	500  
37 	200   	496.414 	33.4979 	99.1 	500  
38 	200   	497.983 	28.2766 	99.1 	500  
39 	200   	499.988 	0.176334	497.5	500  
40 	200   	499.988 	0.176334	497.5	500  
41 	200   	499.988 	0.176334	497.5	500  
42 	200   	499.988 	0.176334	497.5	500  
43 	200   	499.988 	0.176334	497.5	500  
44 	200   	499.988 	0.176334	497.5	500  
45 	200   	499.988 	0.176334	497.5	500  
46 	200   	499.988 	0.176334	497.5	500  
47 	200   	499.988 	0.176334	497.5	500  
48 	200   	500     	0       	500  	500  
49 	200   	500     	0       	500  	500  
50 	200   	500     	0       	500  	500  
