gen	nevals	avg     	std        	min  	max  
0  	200   	-102.262	324.312    	-1000	215.3
1  	200   	7.9095  	104.238    	-1000	215.3
2  	200   	24.7615 	34.4497    	9.4  	215.3
3  	200   	33.3735 	41.0504    	9.4  	215.3
4  	200   	43.6285 	48.7975    	9.4  	230.6
5  	200   	56.4255 	57.7238    	9.4  	230.6
6  	200   	70.005  	65.4189    	9.9  	299.6
7  	200   	85.0805 	71.6524    	9.9  	299.6
8  	200   	101.172 	75.2045    	9.9  	299.6
9  	200   	112.04  	76.9912    	9.9  	299.6
10 	200   	126.608 	78.7726    	9.9  	309.1
11 	200   	140.856 	79.0142    	9.9  	309.1
12 	200   	160.347 	75.5438    	9.9  	309.1
13 	200   	176.762 	70.4258    	9.9  	309.1
14 	200   	185.263 	64.7531    	22.5 	309.1
15 	200   	194.328 	59.5846    	22.5 	309.1
16 	200   	200.385 	53.5802    	22.5 	309.1
17 	200   	208.778 	44.9323    	25   	309.1
18 	200   	213.755 	38.7138    	44.9 	309.1
19 	200   	217.94  	31.9232    	44.9 	309.1
20 	200   	220.252 	33.4586    	44.9 	309.1
21 	200   	222.202 	31.7425    	44.9 	309.1
22 	200   	224.33  	32.1506    	44.9 	309.1
23 	200   	227.163 	31.0125    	83.7 	309.1
24 	200   	228.544 	30.9971    	83.7 	309.1
25 	200   	230.247 	32.1083    	83.7 	309.1
26 	200   	231.725 	32.5742    	83.7 	309.1
27 	200   	233.735 	31.1584    	182.4	309.1
28 	200   	237.314 	36.0677    	182.4	454.6
29 	200   	240.388 	40.4184    	182.4	454.6
30 	200   	243.627 	43.1554    	182.4	454.6
31 	200   	245.488 	42.9995    	182.4	454.6
32 	200   	247.889 	43.6477    	182.4	454.6
33 	200   	252.643 	50.6005    	182.4	486.3
34 	200   	255.996 	51.4085    	182.4	486.3
35 	200   	259.194 	54.0444    	182.4	486.3
36 	200   	267.779 	62.8643    	182.4	486.3
37 	200   	273.381 	66.5375    	182.4	486.3
38 	200   	278.351 	69.2873    	182.4	486.3
39 	200   	282.032 	71.8168    	182.4	486.3
40 	200   	284.866 	71.8676    	182.4	486.3
41 	200   	292.457 	75.5849    	182.4	486.3
42 	200   	299.702 	78.1887    	215.3	486.3
43 	200   	305.824 	79.9168    	215.3	486.3
44 	200   	313.697 	81.5762    	215.3	486.3
45 	200   	324.143 	85.4504    	215.3	486.3
46 	200   	336.83  	88.422     	215.3	486.3
47 	200   	351.804 	90.9418    	215.3	486.3
48 	200   	364.465 	92.3819    	215.3	486.3
49 	200   	376.696 	91.7781    	215.3	486.3
50 	200   	395.151 	93.1987    	215.3	490.8
51 	200   	417.956 	87.2907    	215.3	490.8
52 	200   	437.675 	78.092     	215.3	490.8
53 	200   	448.215 	72.701     	215.3	490.8
54 	200   	459.516 	64.9584    	215.3	490.8
55 	200   	467.229 	57.2503    	215.3	490.8
56 	200   	474.419 	48.8885    	215.3	490.8
57 	200   	478.619 	41.0557    	235.3	490.8
58 	200   	481.66  	33.0084    	241.4	490.8
59 	200   	485.377 	20.8295    	241.4	490.8
60 	200   	485.759 	20.8842    	241.4	490.8
61 	200   	486.322 	20.9517    	241.4	490.8
62 	200   	487.003 	20.9333    	241.4	490.8
63 	200   	487.408 	20.9593    	241.4	490.8
64 	200   	487.768 	20.9758    	241.4	490.8
65 	200   	488.288 	18.7014    	241.4	490.8
66 	200   	488.536 	18.7032    	241.4	490.8
67 	200   	489.126 	17.6103    	241.4	490.8
68 	200   	489.238 	17.6062    	241.4	490.8
69 	200   	489.261 	17.6053    	241.4	490.8
70 	200   	489.328 	17.6025    	241.4	490.8
71 	200   	489.373 	17.6004    	241.4	490.8
72 	200   	489.396 	17.5994    	241.4	490.8
73 	200   	490.71  	0.63       	486.3	490.8
74 	200   	490.71  	0.63       	486.3	490.8
75 	200   	490.755 	0.447744   	486.3	490.8
76 	200   	490.755 	0.447744   	486.3	490.8
77 	200   	490.755 	0.447744   	486.3	490.8
78 	200   	490.8   	1.13687e-13	490.8	490.8
79 	200   	490.8   	1.13687e-13	490.8	490.8
80 	200   	490.8   	1.13687e-13	490.8	490.8
81 	200   	490.8   	1.13687e-13	490.8	490.8
82 	200   	490.8   	1.13687e-13	490.8	490.8
83 	200   	490.8   	1.13687e-13	490.8	490.8
84 	200   	490.8   	1.13687e-13	490.8	490.8
85 	200   	490.8   	1.13687e-13	490.8	490.8
86 	200   	490.8   	1.13687e-13	490.8	490.8
87 	200   	490.8   	1.13687e-13	490.8	490.8
88 	200   	490.8   	1.13687e-13	490.8	490.8
89 	200   	490.8   	1.13687e-13	490.8	490.8
90 	200   	490.846 	0.64891    	490.8	500  
91 	200   	490.846 	0.64891    	490.8	500  
92 	200   	490.846 	0.64891    	490.8	500  
93 	200   	490.892 	0.915388   	490.8	500  
94 	200   	490.893 	0.915397   	490.8	500  
95 	200   	490.894 	0.915404   	490.8	500  
96 	200   	490.895 	0.91541    	490.8	500  
97 	200   	490.896 	0.915415   	490.8	500  
98 	200   	490.943 	1.1181     	490.8	500  
99 	200   	490.945 	1.11802    	490.8	500  
100	200   	490.947 	1.11794    	490.8	500  
