gen	nevals	avg    	std    	min  	max  
0  	200   	-79.667	289.718	-1000	179.2
1  	200   	7.3595 	72.6887	-1000	179.2
2  	200   	15.3935	16.4328	9.3  	179.2
3  	200   	19.391 	23.054 	9.3  	203.1
4  	200   	23.527 	27.1123	9.3  	203.1
5  	200   	27.63  	32.4447	9.3  	203.1
6  	200   	37.635 	46.3209	9.3  	336.8
7  	200   	44.583 	51.0868	9.3  	336.8
8  	200   	53.076 	57.8559	9.3  	336.8
9  	200   	63.483 	62.124 	9.3  	336.8
10 	200   	75.153 	66.2419	11   	336.8
11 	200   	91.467 	75.4793	11   	456.1
12 	200   	101.898	76.6544	11   	456.1
13 	200   	111.428	76.6949	11   	456.1
14 	200   	125.875	74.9923	11   	456.1
15 	200   	140.828	72.5954	11   	456.1
16 	200   	150.034	69.8542	11   	456.1
17 	200   	157.297	66.6967	14.6 	456.1
18 	200   	163.248	65.1031	14.6 	456.1
19 	200   	170.938	62.5365	14.6 	456.1
20 	200   	180.702	61.688 	14.6 	456.1
21 	200   	187.838	58.7202	14.6 	456.1
22 	200   	193.096	56.7414	34.1 	456.1
23 	200   	198.35 	52.3199	34.1 	456.1
24 	200   	205.615	54.8169	34.1 	456.1
25 	200   	208.089	54.8533	34.1 	456.1
26 	200   	214.159	52.4274	50.6 	456.1
27 	200   	216.794	52.0208	53.5 	456.1
28 	200   	220.436	54.842 	55.1 	500  
29 	200   	223.556	56.0431	55.1 	500  
30 	200   	227.361	58.5633	55.1 	500  
31 	200   	229.261	59.1506	55.1 	500  
32 	200   	233.131	60.9621	55.1 	500  
33 	200   	235.091	61.534 	55.1 	500  
34 	200   	238.027	62.0511	55.1 	500  
35 	200   	241.143	61.1793	177.5	500  
36 	200   	242.815	61.3447	177.5	500  
37 	200   	244.595	61.8129	177.5	500  
38 	200   	246.002	61.9454	177.5	500  
39 	200   	248.59 	63.5838	177.5	500  
40 	200   	253.076	66.757 	177.5	500  
41 	200   	258.037	70.0121	177.5	500  
42 	200   	261.848	72.1089	177.5	500  
43 	200   	265.45 	75.1375	177.5	500  
44 	200   	268.715	76.4279	177.5	500  
45 	200   	273.867	76.249 	177.5	500  
46 	200   	278.706	78.4235	177.5	500  
47 	200   	282.188	79.1656	177.5	500  
48 	200   	286.362	81.256 	177.5	500  
49 	200   	296.442	86.8444	177.5	500  
50 	200   	304.995	90.2534	177.5	500  
51 	200   	310.688	91.7971	177.5	500  
52 	200   	317.429	93.507 	177.5	500  
53 	200   	324.972	95.7101	177.5	500  
54 	200   	334.155	98.1604	177.5	500  
55 	200   	338.293	99.5381	177.5	500  
56 	200   	346.154	100.093	177.5	500  
57 	200   	348.745	100.582	177.5	500  
58 	200   	359.052	102.134	177.5	500  
59 	200   	365.704	102.044	177.5	500  
60 	200   	371.467	100.757	177.5	500  
61 	200   	377.541	98.6056	177.5	500  
62 	200   	381.755	98.0883	177.5	500  
63 	200   	390.215	96.7771	177.5	500  
64 	200   	395.449	96.5223	177.5	500  
65 	200   	401.902	95.2818	177.5	500  
66 	200   	408.788	93.3214	177.5	500  
67 	200   	412.377	91.4042	177.5	500  
68 	200   	415.226	90.4533	177.5	500  
69 	200   	421.195	86.4648	205.5	500  
70 	200   	424.985	83.8755	205.5	500  
71 	200   	433.281	79.8561	205.5	500  
72 	200   	437.212	77.9926	205.5	500  
73 	200   	441.994	74.4624	205.5	500  
74 	200   	444.946	72.7017	205.5	500  
75 	200   	447.303	70.1752	205.5	500  
76 	200   	449.453	69.497 	205.5	500  
77 	200   	451.161	69.7699	205.5	500  
78 	200   	456.624	64.2895	226.6	500  
79 	200   	457.841	64.7102	226.6	500  
80 	200   	461.032	61.7289	226.6	500  
81 	200   	462.05 	61.3785	226.6	500  
82 	200   	464.532	60.1824	226.6	500  
83 	200   	465.45 	59.5898	226.6	500  
84 	200   	467.517	57.7076	226.6	500  
85 	200   	468.439	57.4933	226.6	500  
86 	200   	469.886	54.8338	226.6	500  
87 	200   	472.229	52.1905	226.6	500  
88 	200   	473.805	50.2687	226.6	500  
89 	200   	474.552	49.1729	226.6	500  
90 	200   	477.106	46.2443	226.6	500  
91 	200   	477.683	45.6958	226.6	500  
92 	200   	478.663	45.6874	226.6	500  
93 	200   	480.202	43.0679	226.6	500  
94 	200   	481.56 	41.9439	226.6	500  
95 	200   	482.424	41.3556	226.6	500  
96 	200   	483.024	40.7311	226.6	500  
97 	200   	483.053	40.7411	226.6	500  
98 	200   	483.454	40.707 	226.6	500  
99 	200   	484.188	40.0652	226.6	500  
100	200   	486.003	38.6552	226.6	500  
