gen	nevals	avg      	std    	min     	max     
0  	100   	-586.445 	378.355	-1000   	-131.855
1  	100   	-264.077 	181.075	-1000   	-131.855
2  	100   	-193.195 	42.1127	-342.019	-131.855
3  	100   	-175.348 	25.3596	-251.275	-131.855
4  	100   	-164.94  	20.1693	-226.141	-107.78 
5  	100   	-158.359 	17.5118	-222.871	-107.78 
6  	100   	-152.35  	15.4664	-196.421	-85.449 
7  	100   	-147.523 	14.2666	-179.317	-85.449 
8  	100   	-146.563 	14.3507	-179.317	-85.449 
9  	100   	-142.835 	15.2341	-179.317	-85.449 
10 	100   	-137.238 	15.5399	-169.327	-85.449 
11 	100   	-134.278 	16.0645	-169.327	-85.449 
12 	100   	-130.933 	17.6617	-163.999	-61.4762
13 	100   	-127.522 	18.4133	-163.999	-58.703 
14 	100   	-123.878 	20.0464	-161.017	-45.2604
15 	100   	-121.063 	18.5189	-151.664	-45.2604
16 	100   	-117.542 	18.6859	-151.664	-45.2604
17 	100   	-114.145 	18.7524	-151.664	-45.2604
18 	100   	-109.782 	21.2007	-150.072	-36.0096
19 	100   	-106.421 	23.1645	-150.072	-36.0096
20 	100   	-104.746 	23.2363	-145.679	-36.0096
21 	100   	-100.458 	23.3067	-145.679	-36.0096
22 	100   	-95.2447 	23.3147	-145.679	-36.0096
23 	100   	-89.4347 	25.3118	-142.635	-21.7558
24 	100   	-85.6005 	26.2401	-142.635	-21.7558
25 	100   	-81.1143 	26.151 	-142.635	-21.7558
26 	100   	-75.7705 	25.1244	-142.635	-21.7558
27 	100   	-71.0506 	25.6289	-142.635	-21.7558
28 	100   	-69.4808 	26.2438	-142.635	-21.7558
29 	100   	-65.6534 	25.3835	-142.635	-21.7558
30 	100   	-61.7845 	24.1933	-117.691	-5.17435
31 	100   	-59.3306 	23.8299	-117.691	-5.17435
32 	100   	-57.5033 	24.058 	-117.691	-5.17435
33 	100   	-55.3176 	24.0024	-117.691	-3.56648
34 	100   	-52.1621 	23.2434	-117.691	-3.56648
35 	100   	-48.9535 	22.4079	-117.691	-3.56648
36 	100   	-46.9125 	21.8398	-104.059	-3.56648
37 	100   	-45.6124 	21.2966	-104.059	-3.56648
38 	100   	-42.6145 	21.2149	-104.059	-3.19783
39 	100   	-40.8638 	21.4501	-104.059	-3.19783
40 	100   	-38.6453 	20.0348	-104.059	-3.19783
41 	100   	-38.0682 	19.3826	-104.059	-3.19783
42 	100   	-37.842  	19.3753	-104.059	-3.19783
43 	100   	-36.3429 	18.0202	-96.5449	6.5736  
44 	100   	-35.507  	17.9811	-96.5449	6.5736  
45 	100   	-33.378  	17.3635	-96.5449	6.5736  
46 	100   	-31.1342 	15.8523	-71.4003	6.5736  
47 	100   	-30.6478 	15.9153	-71.4003	6.5736  
48 	100   	-29.9723 	16.1512	-71.4003	6.5736  
49 	100   	-29.6923 	16.0074	-71.4003	6.5736  
50 	100   	-28.6848 	15.4864	-71.4003	6.5736  
51 	100   	-27.3036 	15.8051	-71.4003	6.5736  
52 	100   	-26.6889 	16.1372	-71.4003	6.5736  
53 	100   	-25.5297 	16.3533	-71.4003	14.2088 
54 	100   	-25.2157 	16.3076	-71.4003	14.2088 
55 	100   	-24.0854 	16.0544	-71.4003	14.2088 
56 	100   	-22.9768 	15.6661	-71.4003	14.2088 
57 	100   	-21.6902 	14.669 	-59.5882	14.2088 
58 	100   	-20.9911 	14.6872	-59.5882	14.2088 
59 	100   	-20.6241 	14.6681	-59.5882	14.2088 
60 	100   	-20.0509 	14.2462	-55.2736	14.2088 
61 	100   	-19.2412 	14.4284	-55.2736	14.2088 
62 	100   	-17.8384 	15.2968	-55.2736	18.9687 
63 	100   	-17.5765 	14.872 	-54.3466	18.9687 
64 	100   	-17.1667 	14.7362	-54.3466	18.9687 
65 	100   	-16.3405 	15.2763	-54.3466	18.9687 
66 	100   	-15.7628 	15.1056	-54.3466	18.9687 
67 	100   	-15.6377 	15.0681	-54.3466	18.9687 
68 	100   	-14.7316 	14.9476	-54.3466	18.9687 
69 	100   	-14.177  	14.8255	-54.3466	18.9687 
70 	100   	-13.4617 	14.8028	-54.3466	18.9687 
71 	100   	-12.8721 	14.5065	-54.3466	18.9687 
72 	100   	-12.2707 	14.5283	-54.3466	18.9687 
73 	100   	-11.9497 	14.3888	-54.3466	18.9687 
74 	100   	-10.6257 	14.9854	-54.3466	38.8969 
75 	100   	-9.9461  	14.9514	-54.3466	38.8969 
76 	100   	-9.44419 	15.0116	-54.3466	38.8969 
77 	100   	-9.32996 	14.9003	-54.3466	38.8969 
78 	100   	-8.93883 	14.2677	-52.0926	38.8969 
79 	100   	-8.15201 	14.5247	-52.0926	38.8969 
80 	100   	-7.43638 	14.7533	-52.0926	38.8969 
81 	100   	-7.08756 	14.8925	-52.0926	38.8969 
82 	100   	-6.22182 	14.1984	-38.4551	38.8969 
83 	100   	-5.83221 	14.1901	-38.4551	38.8969 
84 	100   	-5.08874 	13.6559	-35.3641	38.8969 
85 	100   	-4.41215 	13.6922	-35.3641	38.8969 
86 	100   	-4.318   	13.7231	-35.3641	38.8969 
87 	100   	-3.79441 	13.3225	-30.0194	38.8969 
88 	100   	-3.34616 	13.6171	-30.0194	38.8969 
89 	100   	-2.99971 	13.608 	-30.0194	38.8969 
90 	100   	-2.99971 	13.608 	-30.0194	38.8969 
