gen 	nevals	avg     	std    	min   	max   
0   	200   	-419.804	357.334	-1000 	-189.3
1   	200   	-227.425	147.163	-1000 	-172.4
2   	200   	-198.87 	4.33042	-200  	-172.4
3   	200   	-197.637	6.14176	-200  	-172.4
4   	200   	-195.366	9.75378	-200  	-125.2
5   	200   	-192.401	11.3444	-200  	-125.2
6   	200   	-188.859	12.7387	-200  	-125.2
7   	200   	-184.606	14.124 	-200  	-125.2
8   	200   	-180.364	15.0227	-200  	-125.2
9   	200   	-176.692	15.9635	-200  	-114.4
10  	200   	-172.899	16.6772	-200  	-114.4
11  	200   	-168.612	17.7505	-200  	-114.4
12  	200   	-163.778	19.4101	-200  	-114.4
13  	200   	-159.989	20.1895	-200  	-114.4
14  	200   	-156.219	20.8986	-200  	-114.4
15  	200   	-150.423	21.9797	-200  	-114.4
16  	200   	-145.964	22.6301	-200  	-113.8
17  	200   	-141.641	22.6634	-200  	-111  
18  	200   	-135.991	22.1096	-199.3	-111  
19  	200   	-131.891	20.6415	-199.3	-111  
20  	200   	-128.044	19.8402	-199.3	-111  
21  	200   	-124.287	17.6881	-199.3	-111  
22  	200   	-122.668	16.7465	-199.3	-111  
23  	200   	-120.033	14.3361	-190.8	-111  
24  	200   	-118.263	11.6051	-190.8	-111  
25  	200   	-117.341	10.5927	-190.8	-111  
26  	200   	-116.582	8.87761	-172.4	-111  
27  	200   	-115.729	6.863  	-172.4	-111  
28  	200   	-115.629	6.81136	-172.4	-111  
29  	200   	-115.017	5.16856	-172.4	-111  
30  	200   	-114.644	3.10658	-147.1	-111  
31  	200   	-114.522	3.03325	-147.1	-111  
32  	200   	-114.315	3.09703	-147.1	-104  
33  	200   	-114.282	3.09914	-147.1	-104  
34  	200   	-114.061	2.94716	-147.1	-104  
35  	200   	-113.825	2.94682	-147.1	-104  
36  	200   	-113.732	2.98037	-147.1	-104  
37  	200   	-113.62 	3.04151	-147.1	-104  
38  	200   	-113.515	3.09627	-147.1	-104  
39  	200   	-113.328	3.31012	-147.1	-104  
40  	200   	-113.296	3.31698	-147.1	-104  
41  	200   	-113.078	3.53358	-147.1	-104  
42  	200   	-112.911	3.62232	-147.1	-104  
43  	200   	-112.736	3.73492	-147.1	-104  
44  	200   	-112.638	3.76815	-147.1	-104  
45  	200   	-112.448	3.88636	-147.1	-104  
46  	200   	-112.286	3.94213	-147.1	-104  
47  	200   	-111.907	4.17146	-147.1	-104  
48  	200   	-111.653	4.29967	-147.1	-104  
49  	200   	-111.437	4.35828	-147.1	-104  
50  	200   	-111.078	4.46266	-147.1	-104  
51  	200   	-110.816	4.5693 	-147.1	-104  
52  	200   	-110.313	4.73145	-147.1	-104  
53  	200   	-109.808	4.86697	-147.1	-104  
54  	200   	-109.393	4.91507	-147.1	-104  
55  	200   	-109.054	4.93928	-147.1	-104  
56  	200   	-108.725	4.96436	-147.1	-104  
57  	200   	-108.349	4.98015	-147.1	-104  
58  	200   	-108.151	4.97659	-147.1	-104  
59  	200   	-107.822	4.96313	-147.1	-104  
60  	200   	-107.498	4.92639	-147.1	-104  
61  	200   	-107.249	4.87429	-147.1	-104  
62  	200   	-107.039	4.84056	-147.1	-104  
63  	200   	-106.692	4.6408 	-147.1	-104  
64  	200   	-106.464	4.5796 	-147.1	-104  
65  	200   	-106.163	4.43607	-147.1	-104  
66  	200   	-105.945	4.356  	-147.1	-104  
67  	200   	-105.615	4.17829	-147.1	-104  
68  	200   	-105.614	4.17884	-147.1	-104  
69  	200   	-105.576	4.16379	-147.1	-104  
70  	200   	-105.498	4.13497	-147.1	-104  
71  	200   	-105.443	4.11594	-147.1	-104  
72  	200   	-105.288	3.93629	-147.1	-104  
73  	200   	-105.171	3.85285	-147.1	-104  
74  	200   	-105.102	3.82935	-147.1	-103.1
75  	200   	-105.079	3.82899	-147.1	-103.1
76  	200   	-105.055	3.82849	-147.1	-103.1
77  	200   	-104.919	3.73488	-147.1	-103.1
78  	200   	-104.839	3.68878	-147.1	-103.1
79  	200   	-104.812	3.67565	-147.1	-103.1
80  	200   	-104.764	3.62166	-147.1	-103.1
81  	200   	-104.731	3.59913	-147.1	-103.1
82  	200   	-104.672	3.54133	-147.1	-103.1
83  	200   	-104.671	3.54143	-147.1	-103.1
84  	200   	-104.622	3.48209	-147.1	-103.1
85  	200   	-104.609	3.48225	-147.1	-103  
86  	200   	-104.555	3.42253	-147.1	-103  
87  	200   	-104.52 	3.39209	-147.1	-103  
88  	200   	-104.454	3.32692	-147.1	-103  
89  	200   	-104.449	3.32835	-147.1	-103  
90  	200   	-104.445	3.32956	-147.1	-103  
91  	200   	-104.405	3.29847	-147.1	-103  
92  	200   	-104.37 	3.26527	-147.1	-103  
