gen 	nevals	avg     	std     	min   	max   
0   	200   	-387.819	339.304 	-1000 	-179.7
1   	200   	-223.581	136.57  	-1000 	-179.7
2   	200   	-202.804	56.6835 	-1000 	-179.7
3   	200   	-196.909	6.83747 	-200  	-171.9
4   	200   	-195.242	8.02721 	-200  	-171.9
5   	200   	-192.393	9.10394 	-200  	-171.9
6   	200   	-190.463	9.35179 	-200  	-171.9
7   	200   	-188.819	9.58116 	-200  	-167.4
8   	200   	-186.79 	9.43547 	-200  	-156.4
9   	200   	-185.635	9.06115 	-200  	-156.4
10  	200   	-184.113	8.60307 	-200  	-156.4
11  	200   	-183.487	8.61146 	-200  	-153.3
12  	200   	-182.998	8.3413  	-200  	-153.3
13  	200   	-182.364	7.90029 	-200  	-153.3
14  	200   	-181.821	7.60744 	-200  	-153.3
15  	200   	-181.376	7.19374 	-200  	-153.3
16  	200   	-180.862	7.03029 	-200  	-153.3
17  	200   	-180.247	7.91288 	-200  	-127.2
18  	200   	-179.803	8.08864 	-200  	-127.2
19  	200   	-179.201	8.07774 	-200  	-127.2
20  	200   	-178.486	8.31293 	-200  	-127.2
21  	200   	-177.67 	8.66574 	-200  	-127.2
22  	200   	-176.797	9.03003 	-200  	-127.2
23  	200   	-176.424	9.35431 	-200  	-127.2
24  	200   	-176.267	9.44699 	-200  	-127.2
25  	200   	-175.184	10.4514 	-200  	-127.2
26  	200   	-174.497	11.0972 	-200  	-127.2
27  	200   	-173.931	11.2701 	-200  	-127.2
28  	200   	-173.042	11.2931 	-200  	-127.2
29  	200   	-172.317	11.5508 	-200  	-127.2
30  	200   	-171.484	12.0893 	-200  	-127.2
31  	200   	-170.609	12.384  	-198.4	-127.2
32  	200   	-169.675	12.7318 	-198.4	-127.2
33  	200   	-168.589	13.058  	-198.4	-127.2
34  	200   	-168.294	13.0588 	-198.4	-127.2
35  	200   	-167.202	13.5542 	-198.4	-127.2
36  	200   	-166.556	13.7891 	-198.4	-127.2
37  	200   	-165.069	14.304  	-198.4	-127.2
38  	200   	-163.912	14.7495 	-198.4	-127.2
39  	200   	-162.429	15.1232 	-195.8	-127.2
40  	200   	-161.144	15.3084 	-195.8	-127.2
41  	200   	-159.499	15.4824 	-195.8	-127.2
42  	200   	-158.49 	15.529  	-195.8	-127.2
43  	200   	-157.961	15.6335 	-195.8	-127.2
44  	200   	-157.639	15.6035 	-195.8	-127.2
45  	200   	-156.039	15.8744 	-195.8	-127.2
46  	200   	-154.961	15.5703 	-195.8	-127.2
