gen 	nevals	avg     	std     	min   	max   
0   	200   	-419.871	357.296 	-1000 	-174.1
1   	200   	-219.847	124.938 	-1000 	-174.1
2   	200   	-199.697	2.38752 	-200  	-174.1
3   	200   	-199.385	3.16883 	-200  	-174.1
4   	200   	-199.212	3.58905 	-200  	-174.1
5   	200   	-198.774	4.35647 	-200  	-174.1
6   	200   	-198.217	5.00246 	-200  	-174.1
7   	200   	-197.239	6.05789 	-200  	-174.1
8   	200   	-195.764	7.07407 	-200  	-174.1
9   	200   	-194.273	7.53533 	-200  	-174.1
10  	200   	-192.959	7.83575 	-200  	-174.1
11  	200   	-191.524	8.61406 	-200  	-148  
12  	200   	-189.603	8.96009 	-200  	-148  
13  	200   	-186.863	8.43287 	-200  	-148  
14  	200   	-185.641	8.09682 	-200  	-148  
15  	200   	-183.927	7.97141 	-200  	-148  
16  	200   	-182.585	7.25712 	-200  	-148  
17  	200   	-181.752	7.26847 	-200  	-148  
18  	200   	-180.766	6.53328 	-200  	-148  
19  	200   	-179.976	6.20367 	-200  	-148  
20  	200   	-179.429	6.28767 	-200  	-148  
21  	200   	-178.489	6.2435  	-200  	-148  
22  	200   	-177.564	6.76813 	-200  	-148  
23  	200   	-176.619	7.89387 	-200  	-131.9
24  	200   	-176.258	7.79056 	-200  	-131.9
25  	200   	-175.346	7.38823 	-192.1	-131.9
26  	200   	-174.938	7.47412 	-192.1	-131.9
27  	200   	-174.606	7.29826 	-192.1	-131.9
28  	200   	-174.143	7.80125 	-192.1	-131.9
29  	200   	-173.591	8.85341 	-192.1	-114.3
30  	200   	-173.11 	8.78779 	-192.1	-114.3
31  	200   	-172.783	8.909   	-192.1	-114.3
32  	200   	-172.612	9.02552 	-192.1	-114.3
33  	200   	-172.069	9.32416 	-192.1	-114.3
34  	200   	-171.329	9.95181 	-192.1	-114.3
35  	200   	-171.135	10.0704 	-192.1	-114.3
36  	200   	-170.768	10.091  	-184.3	-114.3
37  	200   	-170.28 	10.1695 	-184.3	-114.3
38  	200   	-169.688	10.4121 	-184.3	-114.3
39  	200   	-169.271	10.668  	-184.3	-114.3
40  	200   	-168.919	10.8279 	-184.3	-114.3
41  	200   	-168.273	11.1365 	-184.3	-114.3
42  	200   	-167.313	11.7122 	-184.3	-114.3
43  	200   	-166.094	12.3344 	-184.3	-114.3
