gen 	nevals	avg     	std     	min   	max   
0   	200   	-291.87 	255.266 	-1000 	-191.8
1   	200   	-199.538	2.91914 	-200  	-163.3
2   	200   	-199.07 	4.11151 	-200  	-163.3
3   	200   	-198.609	4.32357 	-200  	-163.3
4   	200   	-197.002	6.66728 	-200  	-152.9
5   	200   	-195.161	8.03615 	-200  	-142.8
6   	200   	-193.388	8.60636 	-200  	-142.8
7   	200   	-191.41 	9.59943 	-200  	-142.8
8   	200   	-188.597	11.5223 	-200  	-142.8
9   	200   	-185.553	13.4185 	-200  	-119.5
10  	200   	-180.508	16.7961 	-200  	-119.5
11  	200   	-176.002	18.0518 	-200  	-119.5
12  	200   	-170.628	19.2207 	-200  	-119.5
13  	200   	-164.626	19.8708 	-197.9	-119.5
14  	200   	-158.629	20.313  	-197.9	-119.1
15  	200   	-153.347	20.2032 	-197.9	-119.1
16  	200   	-147.099	20.1112 	-197.9	-119.1
17  	200   	-142.648	20.3411 	-197.9	-119.1
18  	200   	-136.347	18.6602 	-197.9	-118.2
19  	200   	-133.123	17.5592 	-197.9	-118.2
20  	200   	-129.815	15.5811 	-188.6	-118.2
21  	200   	-127.091	14.3838 	-188.6	-118.2
22  	200   	-125.96 	13.9243 	-188.6	-118.2
23  	200   	-123.68 	11.3789 	-175.4	-118.2
24  	200   	-122.788	10.0529 	-175.4	-118.2
25  	200   	-122.153	9.46112 	-175.4	-118.2
26  	200   	-121.397	8.50181 	-175.4	-118.2
27  	200   	-121    	7.77804 	-175.4	-118.2
28  	200   	-120.708	7.47792 	-175.4	-118.2
29  	200   	-120.176	6.51446 	-175.4	-118.2
30  	200   	-119.886	6.11475 	-175.4	-118.2
31  	200   	-119.675	5.90912 	-175.4	-118.2
32  	200   	-119.593	5.92054 	-175.4	-118.2
33  	200   	-119.454	5.93815 	-175.4	-118.2
34  	200   	-119.189	4.94491 	-175.4	-117.8
35  	200   	-119.009	4.73885 	-175.4	-117.8
36  	200   	-118.787	4.14784 	-175.4	-117.8
37  	200   	-118.749	4.11511 	-174.9	-117.8
38  	200   	-118.684	4.11665 	-174.9	-117.8
39  	200   	-118.656	4.11663 	-174.9	-117.8
40  	200   	-118.629	4.11685 	-174.9	-117.8
41  	200   	-118.603	4.11799 	-174.9	-117.8
42  	200   	-118.566	4.11958 	-174.9	-117.8
43  	200   	-118.541	4.12027 	-174.9	-117.8
44  	200   	-118.463	4.00586 	-174.9	-117.8
45  	200   	-118.451	4.00727 	-174.9	-117.8
46  	200   	-118.421	4.00937 	-174.9	-117.8
47  	200   	-118.385	4.0122  	-174.9	-117.8
48  	200   	-118.343	4.01564 	-174.9	-117.8
49  	200   	-118.3  	4.01777 	-174.9	-117.8
50  	200   	-118.276	4.01949 	-174.9	-117.8
