gen 	nevals	avg     	std    	min   	max   
0   	200   	-271.508	229.136	-1000 	-156.4
1   	200   	-202.775	56.8349	-1000 	-156.4
2   	200   	-197.185	8.92509	-200  	-156.4
3   	200   	-193.459	13.5688	-200  	-134.8
4   	200   	-187.438	17.5264	-200  	-134.8
5   	200   	-182.052	19.1042	-200  	-134.8
6   	200   	-174.704	21.3002	-200  	-119.3
7   	200   	-168.051	21.5784	-200  	-119.3
8   	200   	-161.237	21.727 	-200  	-119.3
9   	200   	-153.535	19.5758	-200  	-119.3
10  	200   	-147.237	18.0286	-200  	-119.3
11  	200   	-141.546	15.722 	-200  	-119.3
12  	200   	-137.878	14.4488	-200  	-119.3
13  	200   	-133.731	12.1177	-194  	-119.3
14  	200   	-130.877	11.0302	-182.6	-119.3
15  	200   	-128.004	9.82267	-182.6	-119.3
16  	200   	-125.286	9.51664	-182.6	-119.3
17  	200   	-123.281	8.20498	-182.6	-119.3
18  	200   	-122.201	7.57236	-182.6	-119.3
19  	200   	-121.593	7.26757	-182.6	-119.3
20  	200   	-120.994	6.82315	-182.6	-119.3
21  	200   	-120.759	6.41275	-182.6	-119.3
22  	200   	-120.641	6.33217	-182.6	-119.3
23  	200   	-120.284	5.64196	-182.6	-119.3
24  	200   	-119.856	4.72461	-182.6	-119.3
25  	200   	-119.744	4.60122	-182.6	-119.3
26  	200   	-119.736	4.6017 	-182.6	-119.3
27  	200   	-119.732	4.60198	-182.6	-119.3
28  	200   	-119.728	4.60223	-182.6	-119.3
29  	200   	-119.698	4.58777	-182.6	-119.3
30  	200   	-119.696	4.58792	-182.6	-119.3
31  	200   	-119.691	4.57372	-182.6	-119.3
32  	200   	-119.691	4.57372	-182.6	-119.3
33  	200   	-119.691	4.57372	-182.6	-119.3
34  	200   	-119.691	4.57372	-182.6	-119.3
35  	200   	-119.618	4.46473	-182.6	-119.3
36  	200   	-119.616	4.46478	-182.6	-119.3
37  	200   	-119.616	4.46478	-182.6	-119.3
38  	200   	-119.616	4.46478	-182.6	-119.3
39  	200   	-119.616	4.46478	-182.6	-119.3
40  	200   	-119.616	4.46478	-182.6	-119.3
41  	200   	-119.616	4.46478	-182.6	-119.3
42  	200   	-119.616	4.46478	-182.6	-119.3
43  	200   	-119.616	4.46478	-182.6	-119.3
44  	200   	-119.616	4.46478	-182.6	-119.3
45  	200   	-119.616	4.46478	-182.6	-119.3
46  	200   	-119.616	4.46478	-182.6	-119.3
47  	200   	-119.616	4.46478	-182.6	-119.3
48  	200   	-119.616	4.46478	-182.6	-119.3
49  	200   	-119.616	4.46478	-182.6	-119.3
50  	200   	-119.616	4.46478	-182.6	-119.3
51  	200   	-119.616	4.46478	-182.6	-119.3
52  	200   	-119.616	4.46478	-182.6	-119.3
53  	200   	-119.616	4.46478	-182.6	-119.3
54  	200   	-119.616	4.46478	-182.6	-119.3
55  	200   	-119.616	4.46478	-182.6	-119.3
56  	200   	-119.616	4.46478	-182.6	-119.3
57  	200   	-119.616	4.46478	-182.6	-119.3
58  	200   	-119.616	4.46478	-182.6	-119.3
59  	200   	-119.616	4.46478	-182.6	-119.3
60  	200   	-119.616	4.46478	-182.6	-119.3
61  	200   	-119.616	4.46478	-182.6	-119.3
